religion	caste	subcaste
Bahai	Bahai	
Buddhist	Buddhist	
Buddhist	Neo-Buddhist	Mahar
Buddhist	Neo-Buddhist	Matang
Christian	Anglo Indian	
Christian	Basel Mission	
Christian	Born Again	
Christian	Bretheren	
Christian	Cannonite	
Christian	Catholic	
Christian	Catholic Knanya	
Christian	Catholic Malankara	
Christian	Chaldean Syrian	
Christian	Cheramar	
Christian	Christian	
Christian	Christian Nadar	
Christian	Church of North India (CNI)	
Christian	Church of South India (CSI)	
Christian	CMS	
Christian	Convert	
Christian	Evangelical	
Christian	Indian Orthodox	
Christian	Intercaste	
Christian	IPC	
Christian	Jacobite	
Christian	Jacobite Knanya	
Christian	Knanaya	
Christian	Knanaya Catholic	
Christian	Knanaya Jacobite	
Christian	Knanaya Pentecostal	
Christian	Knanya	
Christian	Latin Catholic	
Christian	Malankara	
Christian	Malankara Catholic	
Christian	Manglorean	
Christian	Marthoma	
Christian	Methodist	
Christian	Mormon	
Christian	Nadar	
Christian	Orthodox	
Christian	Pentecost	
Christian	Presbyterian	
Christian	Protestant	
Christian	RCSC	
Christian	Roman Catholic	
Christian	Salvation Army	
Christian	Scheduled Caste (SC)	
Christian	Scheduled Tribe (ST)	
Christian	Seventh day Adventist	
Christian	Syrian	
Christian	Syrian Catholic	
Christian	Syrian Orthodox	
Christian	Syro Malabar	
Christian	Protestant	CSI
Christian	Catholic	Latin
Hindu	24 Manai Telugu Chettiar	
Hindu	Adi Andhra	
Hindu	Adi Dharmi	
Hindu	Adi Dravida	
Hindu	Adi Karnataka	
Hindu	Agamudayar	
Hindu	Agnikula Kshatriya	
Hindu	Agri	
Hindu	Ahir	
Hindu	Ahom	
Hindu	Ambalavasi	
Hindu	Arcot	
Hindu	Arekatica	
Hindu	Arunthathiyar	
Hindu	Arya Vysya	
Hindu	Aryasamaj	
Hindu	Ayyaraka	
Hindu	Badaga	
Hindu	Baghel/Pal/Gaderiya	
Hindu	Bahi	
Hindu	Baidya	
Hindu	Baishnab	
Hindu	Baishya	
Hindu	Bajantri	
Hindu	Balija	
Hindu	Banayat Oriya	
Hindu	Banik	
Hindu	Baniya	
Hindu	Barai	
Hindu	Bari	
Hindu	Barnwal	
Hindu	Barujibi	
Hindu	Besta	
Hindu	Bhandari	
Hindu	Bhatia	
Hindu	Bhatraju	
Hindu	Bhavsar	
Hindu	Bhovi	
Hindu	Billava	
Hindu	Boya	
Hindu	Boyer	
Hindu	Brahmbatt	
Hindu	Brahmin	
Hindu	Brahmo	
Hindu	Buddar	
Hindu	Bunt (Shetty)	
Hindu	Chalawadi Holeya	
Hindu	Chambhar	
Hindu	Chandravanshi Kahar	
Hindu	Chasa	
Hindu	Chattada Sri Vaishnava	
Hindu	Chaudary	
Hindu	Chaurasia	
Hindu	Chennadasar	
Hindu	Chettiar	
Hindu	Chhetri	
Hindu	Chippolu/Mera	
Hindu	CKP	
Hindu	Coorgi	
Hindu	Devadiga	
Hindu	Devanga	
Hindu	Devar/Thevar/Mukkulathor	
Hindu	Devendra Kula Vellalar	
Hindu	Dhangar	
Hindu	Dheevara	
Hindu	Dhiman	
Hindu	Dhoba	
Hindu	Dhobi	
Hindu	Dommala	
Hindu	Dusadh	
Hindu	Ediga	
Hindu	Ezhava	
Hindu	Ezhuthachan	
Hindu	Gabit	
Hindu	Ganakar	
Hindu	Gandla	
Hindu	Ganiga	
Hindu	Garhwali	
Hindu	Gatti	
Hindu	Gavali	
